Ch.,B,A,x0,y0,Ra,Dec,FWHMx,FWHMy,Mag,Beta,r,Angle,RMSE
0,8.21321e-05,0.00352519,421.347,264.828,9.99e+09,9.99e+09,15.0086,9.91985,-0.506786,-1,0.660946,10.8436,0.000167639
0,0.000111796,0.00349078,778.854,86.3668,9.99e+09,9.99e+09,16.7894,11.6733,-0.623263,-1,0.69528,13.9344,0.000173891
0,0.00012171,0.00299961,1144.43,437.374,9.99e+09,9.99e+09,20.7849,15.8404,-0.814928,-1,0.76211,17.5352,0.000154505
0,9.43628e-05,0.00323724,663.531,663.159,9.99e+09,9.99e+09,16.6417,11.7394,-0.586963,-1,0.705422,22.7904,0.000152435
0,9.9696e-05,0.00307524,886.531,1295.16,9.99e+09,9.99e+09,19.6885,16.1691,-0.810649,-1,0.821246,16.2467,0.000146316
0,0.000101709,0.00302414,1190.01,845.045,9.99e+09,9.99e+09,19.5684,15.0901,-0.758995,-1,0.771149,15.819,0.000147329
0,9.24404e-05,0.00300003,1394.19,915.883,9.99e+09,9.99e+09,19.1926,14.7223,-0.730729,-1,0.767082,12.7516,0.000149998
0,8.63315e-05,0.00303667,1016.54,1023.56,9.99e+09,9.99e+09,15.5556,12.8127,-0.567238,-1,0.823667,10.4273,0.000143804
0,7.54707e-05,0.00364333,148.691,911.692,9.99e+09,9.99e+09,16.3018,11.4811,-0.621917,-1,0.704284,13.7634,0.000197663
0,9.01469e-05,0.00302032,1710.57,911.832,9.99e+09,9.99e+09,19.1511,14.6329,-0.729349,-1,0.76408,10.4656,0.000158858
0,7.99004e-05,0.00298086,1886.65,714.396,9.99e+09,9.99e+09,15.5371,10.9773,-0.494132,-1,0.706518,8.11436,0.000146731
0,0.000107639,0.00306353,1993.22,216.601,9.99e+09,9.99e+09,14.6141,9.35012,-0.421437,-1,0.6398,6.94687,0.000149763
0,9.68677e-05,0.00327558,1195.63,2353.93,9.99e+09,9.99e+09,18.5459,12.6745,-0.681349,-1,0.683413,3.30832,0.000173902
0,6.53344e-05,0.00302748,1572.48,1572.56,9.99e+09,9.99e+09,20.2207,16.0124,-0.799368,-1,0.791886,12.4521,0.000176206
0,5.93369e-05,0.00276547,2003.23,1733.55,9.99e+09,9.99e+09,14.9408,11.0042,-0.448324,-1,0.736519,15.9267,0.000155987
0,6.50593e-05,0.00276426,2745.62,2367.44,9.99e+09,9.99e+09,12.4414,7.41158,-0.275446,-1,0.595719,20.668,0.000167898
0,7.86442e-05,0.00268278,2202.17,1184.83,9.99e+09,9.99e+09,13.2794,10.7439,-0.391299,-1,0.809061,11.1571,0.000140398
0,8.62422e-05,0.00325316,2710.3,675.547,9.99e+09,9.99e+09,16.0802,12.6392,-0.606634,-1,0.786008,8.40379,0.000164878
0,0.000104307,0.00362634,2877.57,115.418,9.99e+09,9.99e+09,14.2109,9.49368,-0.478162,-1,0.668054,19.765,0.000207117
0,6.98924e-05,0.00350253,3112.31,1008.73,9.99e+09,9.99e+09,17.0711,12.5744,-0.656951,-1,0.736588,12.9174,0.000224226
0,5.29394e-05,0.00255287,3234.1,705.541,9.99e+09,9.99e+09,11.2513,7.53813,-0.238116,-1,0.669982,14.4478,0.000161032
0,9.25927e-05,0.003442,3113.23,1716.23,9.99e+09,9.99e+09,19.0943,14.1029,-0.779657,-1,0.738591,3.76897,0.000196597
0,7.09096e-05,0.0032718,3334.4,703.511,9.99e+09,9.99e+09,12.6372,8.24401,-0.354496,-1,0.652359,13.335,0.000179087
0,7.93234e-05,0.00222188,1442.19,1845.76,9.99e+09,9.99e+09,13.2276,9.95589,-0.310958,-1,0.752659,5.76802,0.00013506
0,6.85213e-05,0.00331446,354.241,549.372,9.99e+09,9.99e+09,12.9491,8.62211,-0.380762,-1,0.665847,15.1261,0.000164841
0,8.29697e-05,0.00289118,675.935,409.021,9.99e+09,9.99e+09,12.2905,7.55507,-0.286774,-1,0.614708,20.1486,0.000158112
0,8.55125e-05,0.00297035,356.847,1370.55,9.99e+09,9.99e+09,12.6365,9.80673,-0.372629,-1,0.776062,12.1017,0.000157855
0,7.51134e-05,0.00216322,2691.8,1567.96,9.99e+09,9.99e+09,11.7345,8.5885,-0.240037,-1,0.7319,24.1821,0.000135197
0,7.76928e-05,0.00197377,2516.14,1315.37,9.99e+09,9.99e+09,11.0722,9.35454,-0.226199,-1,0.844867,17.0853,0.000131102
0,5.05781e-05,0.00224578,2909.77,1090.32,9.99e+09,9.99e+09,11.3561,9.16999,-0.252713,-1,0.807493,21.9715,0.000142842
0,6.87568e-05,0.00209407,3018.88,2113.65,9.99e+09,9.99e+09,11.0036,7.32978,-0.189593,-1,0.666125,22.3413,0.000169821
0,4.10069e-05,0.00299832,3236.87,1404.96,9.99e+09,9.99e+09,12.5233,9.16276,-0.357191,-1,0.731657,18.6737,0.000167026
0,8.48516e-05,0.00220156,1069.52,1626.39,9.99e+09,9.99e+09,11.7284,9.30343,-0.261377,-1,0.793239,5.92965,0.000135697
0,9.37094e-05,0.00239121,1129.21,1301.15,9.99e+09,9.99e+09,13.2806,9.99137,-0.333694,-1,0.75233,14.7489,0.000135109
